1;FAILURE Несанкционированное действие
2;FAILURE  Нарушение лицензионной политики
3;FAILURE Компьютер заблокирован системой защиты
4;FAILURE  Ошибка выполнения функционального контроля
5;FAILURE Запрет входа пользователя
6;FAILURE  Ошибка при печати экземпляра документа
7;FAILURE  Обнаружено нарушение целостности при обработке задания
8;FAILURE Нарушение целостности ресурса
9;FAILURE Для ресурса отсутствует эталонное значение
10;ERROR  Ошибка при восстановлении ресурса по эталонному значению
11;ERROR  Ошибка при открытии базы данных контроля целостности
12;ERROR  Ошибка принятии текущего значения ресурса в качестве эталонного
13;ERROR Ошибка синхронизации локальной базы данных с центральной
14;ERROR  Ошибка при расчете эталона.
15;FAILURE Ошибка при контроле аппаратной конфигурации
16;FAILURE  Запрет доступа к устройству
17;ERROR  Ошибка синхронизации учетной информации
18;FAILURE  Запрет сетевого подключения под другим именем
19;ERROR  Ошибка записи на сменный диск
20;FAILURE  Обнаружен вирус Реально – Обнаружен вирус (оставлен без изменений)
21;FAILURE  Обнаружен вирус Реально – Обнаружен вирус (удален)
22;FAILURE  Обнаружен вирус Реально – Обнаружен вирус (перемещен в карантин)
23;FAILURE Завершение сканирования с ошибкой
24;FAILURE Ошибка при обновлении антивирусной базы
25;ERROR  Ошибка при восстановлении файла из карантина
26;FAILURE  Ошибка при удалении файла из карантина
27;FAILURE  Ошибка при проверке файла на вирусы
28;FAILURE Ошибка при проверке файла на вирусы
29;ERROR  Лицензия недействительна
30;ERROR  Лицензия не найдена
